Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
214,-62.2026,-11.8274,0.4507,0.7,0.0,3.9972,0.1574,0.0,1.5407,0.0
215,-62.3998,-11.8734,0.4513,0.7,0.0,4.0046,0.162,0.0,1.55,0.0
216,-62.5243,-11.8231,0.4519,0.7,0.0,3.9852,0.1667,0.0,1.5602,0.0
217,-62.3676,-11.8669,0.4525,0.7,0.0,3.9926,0.1713,0.0,1.5694,0.0
218,-62.3461,-11.8594,0.4531,0.7,0.0,3.9778,0.1759,0.0,1.5796,0.0
219,-62.1553,-11.7852,0.4537,0.7,0.0,4.0204,0.1815,0.0,1.5889,0.0
220,-62.468,-11.8513,0.4543,0.7,0.0,3.9639,0.1861,0.0,1.5981,0.0
221,-62.1258,-11.8794,0.4548,0.7,0.0,4.025,0.1917,0.0,1.6083,0.0
222,-61.7439,-11.8459,0.4554,0.7,0.0,3.9741,0.1963,0.0,1.6176,0.0
223,-62.0493,-11.8331,0.456,0.7,0.0,4.0269,0.2019,0.0,1.6269,0.0
224,-62.7416,-11.8285,0.4565,0.7,0.0,3.9704,0.2065,0.0,1.6361,0.0
225,-62.4571,-11.8487,0.457,0.7,0.0,3.9833,0.212,0.0,1.6463,0.0
226,-62.3138,-11.7918,0.4575,0.7,0.0,3.9759,0.2176,0.0,1.6556,0.0
227,-62.3224,-11.8165,0.4581,0.7,0.0,3.9426,0.2222,0.0,1.6648,0.0
228,-61.9757,-11.8769,0.4586,0.7,0.0,3.9824,0.2278,0.0,1.6741,0.0
229,-62.3971,-11.8189,0.4591,0.7,0.0,3.9833,0.2333,0.0,1.6843,0.0
230,-62.317,-11.89,0.4596,0.7,0.0,3.9713,0.2389,0.0,1.6935,0.0
231,-61.9964,-11.7984,0.4602,0.7,0.0,3.9935,0.2444,0.0,1.7028,0.0
232,-62.1297,-11.8535,0.4607,0.7,0.0,4.025,0.25,0.0,1.712,0.0
233,-62.3757,-11.81,0.4612,0.7,0.0,3.9824,0.2556,0.0,1.7213,0.0
234,-62.7435,-11.8075,0.4618,0.7,0.0,3.962,0.2611,0.0,1.7315,0.0
235,-61.5958,-11.8903,0.4622,0.7,0.0,3.975,0.2667,0.0,1.7407,0.0
236,-62.4132,-11.8213,0.4627,0.7,0.0,4.0,0.2731,0.0,1.75,0.0
237,-61.7854,-11.7699,0.4632,0.7,0.0,3.9778,0.2787,0.0,1.7593,0.0
238,-62.571,-11.9058,0.4637,0.7,0.0,3.9981,0.2843,0.0,1.7685,0.0
239,-62.4964,-11.8115,0.4641,0.7,0.0,3.9556,0.2898,0.0,1.7778,0.0
240,-62.4261,-11.8719,0.4645,0.7,0.0,4.0361,0.2963,0.0,1.788,0.0
241,-62.3568,-11.8129,0.465,0.7,0.0,3.9713,0.3019,0.0,1.7972,0.0
242,-62.0662,-11.7872,0.4655,0.7,0.0,4.0093,0.3083,0.0,1.8065,0.0
243,-62.4659,-11.7849,0.4659,0.7,0.0,4.0426,0.3139,0.0,1.8157,0.0
