Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
177,-65.4364,-11.6906,0.5771,0.7,0.16875,3.97,14.09,14.09,14.2775,14.2775
178,-65.5228,-11.5848,0.5783,0.7,0.24,3.9225,14.09,14.09,14.2775,14.2775
179,-65.2261,-11.5353,0.5795,0.7,0.18,3.99,14.09,14.09,14.2775,14.2775
180,-65.5587,-11.4422,0.5807,0.7,0.25875,3.9575,14.09,14.09,14.2775,14.2775
181,-65.0817,-11.3803,0.5817,0.7,0.13875,4.005,14.09,14.09,14.2775,14.2775
182,-65.6987,-11.4009,0.5827,0.7,0.24,3.905,14.09,14.09,14.2775,14.2775
183,-65.9224,-11.271,0.5838,0.7,0.3,4.0475,14.09,14.09,14.2775,14.2775
184,-65.5317,-11.2324,0.5847,0.7,0.3375,3.8875,14.09,14.09,14.2775,14.2775
185,-65.5282,-11.1092,0.5859,0.7,0.40125,3.9425,14.09,14.09,14.2775,14.2775
186,-65.1277,-10.9219,0.5869,0.7,0.27375,4.0325,14.09,14.09,14.2775,14.2775
187,-64.6278,-10.7218,0.588,0.7,0.5325,3.97,14.09,14.09,14.2775,14.2775
188,-64.8767,-10.6286,0.5889,0.7,0.36,4.0125,14.09,14.09,14.2775,14.2775
189,-64.416,-10.598,0.5898,0.7,0.36375,4.0175,14.09,14.09,14.2775,14.2775
190,-63.5644,-10.4949,0.5908,0.7,0.5025,3.9775,14.09,14.09,14.2775,14.2775
191,-62.3441,-10.3276,0.5918,0.7,1.07625,4.0125,14.09,14.09,14.2775,14.2775
192,-62.2405,-10.3559,0.5928,0.7,1.26375,4.0225,14.09,14.09,14.2775,14.2775
193,-61.0214,-10.1353,0.5937,0.7,2.67,4.035,14.09,14.09,14.2775,14.2775
194,-56.6305,-10.2513,0.5943,0.7,3.2625,3.945,14.09,14.09,14.2775,14.2775
195,-56.1192,-10.3477,0.5952,0.7,2.85375,4.015,14.09,14.09,14.2775,14.2775
196,-54.2589,-10.6176,0.5959,0.7,2.81625,3.98,14.09,14.09,14.2775,14.2775
197,-54.7934,-10.8474,0.5967,0.7,2.19375,3.96,14.09,14.09,14.2775,14.2775
198,-54.3498,-11.2249,0.5975,0.7,1.5975,4.0375,14.09,14.09,14.2775,14.2775
199,-56.0005,-11.4276,0.5981,0.7,1.32375,3.9675,14.09,14.09,14.2775,14.2775
200,-55.4894,-11.7546,0.5988,0.7,0.97125,3.8825,14.09,14.09,14.2775,14.2775
201,-56.7604,-11.796,0.5996,0.7,0.8025,4.01,14.09,14.09,14.2775,14.2775
202,-58.634,-11.9101,0.6004,0.7,0.6525,4.0175,14.09,14.09,14.2775,14.2775
203,-58.1657,-11.9833,0.6013,0.7,0.5625,3.9525,14.09,14.09,14.2775,14.2775
204,-59.4905,-12.1811,0.6022,0.7,0.37125,4.0425,14.09,14.09,14.2775,14.2775
205,-59.5346,-12.1544,0.6031,0.7,0.2775,3.9875,14.09,14.09,14.2775,14.2775
206,-60.9577,-12.2574,0.6039,0.7,0.19125,3.9225,14.09,14.09,14.2775,14.2775
207,-61.0749,-12.3217,0.6046,0.7,0.15,3.985,14.09,14.09,14.2775,14.2775
208,-61.1478,-12.281,0.6053,0.7,0.16875,3.9875,14.09,14.09,14.2775,14.2775
209,-61.8588,-12.3018,0.6062,0.7,0.16875,3.9925,14.09,14.09,14.2775,14.2775
210,-60.7711,-12.2235,0.6069,0.7,0.19875,3.915,14.09,14.09,14.2775,14.2775
211,-61.4406,-12.3085,0.6078,0.7,0.15,4.0625,14.09,14.09,14.2775,14.2775
212,-62.0752,-12.294,0.6086,0.7,0.2175,3.9125,14.09,14.09,14.2775,14.2775
213,-61.7369,-12.2846,0.6094,0.7,0.135,3.94,14.09,14.09,14.2775,14.2775
214,-62.0045,-12.2819,0.6103,0.7,0.10125,3.955,14.09,14.09,14.2775,14.2775
215,-62.6923,-12.2661,0.6113,0.7,0.1125,3.9575,14.09,14.09,14.2775,14.2775
216,-62.9092,-12.252,0.6122,0.7,0.10125,3.99,14.09,14.09,14.2775,14.2775
217,-63.4291,-12.2877,0.6131,0.7,0.04125,4.005,14.09,14.09,14.2775,14.2775
218,-63.134,-12.2863,0.6138,0.7,0.0525,3.9825,14.09,14.09,14.2775,14.2775
219,-63.3891,-12.281,0.6146,0.7,0.105,4.0425,14.09,14.09,14.2775,14.2775
220,-63.657,-12.2653,0.6154,0.7,0.04125,3.97,14.09,14.09,14.2775,14.2775
221,-63.9318,-12.2293,0.616,0.7,0.0525,3.9675,14.09,14.09,14.2775,14.2775
222,-63.8506,-12.1927,0.6168,0.7,0.02625,4.0,14.09,14.09,14.2775,14.2775
223,-63.9171,-12.2269,0.6175,0.7,0.00375,4.03,14.09,14.09,14.2775,14.2775
224,-64.0366,-12.2296,0.6182,0.7,0.04125,3.985,14.09,14.09,14.2775,14.2775
225,-64.139,-12.1906,0.619,0.7,0.04125,4.01,14.09,14.09,14.2775,14.2775
226,-64.3235,-12.1888,0.6196,0.7,0.04875,4.035,14.09,14.09,14.2775,14.2775
